Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	2.85361	2.93454	5.357	0.765	2.32368	5.43197	1.8	-9999	-9999	-9999	-9999
1	2	3.41633	5.62925	6.992	3.23	3.32223	5.61846	0.6	-9999	-9999	-9999	-9999
1	3	7.79735	2.29906	4.207	-1.88	3.17791	5.2764	0	-9999	-9999	-9999	-9999
1	4	7.88769	1.80673	6.007	-2.442	3.73656	4.31478	0	-9999	-9999	-9999	-9999
1	5	7.93134	5.5924	10.71	0.628	4.29197	4.81149	0	-9999	-9999	-9999	-9999
1	6	6.17163	1.97519	7.98	-2.113	1.96177	4.41768	0	-9999	-9999	-9999	-9999
1	7	6.12933	2.07892	8.82	-2.819	1.14545	4.30784	0	-9999	-9999	-9999	-9999
1	8	4.29054	3.70925	6.824	-0.487	1.23717	4.82351	1.2	-9999	-9999	-9999	-9999
1	9	2.75108	9.99563	12.78	4.427	2.9601	6.44599	1.8	-9999	-9999	-9999	-9999
1	10	6.31956	10.4009	15.45	6.664	2.58037	7.39838	3.6	-9999	-9999	-9999	-9999
1	11	3.66001	13.6587	15.79	11.13	3.96907	8.7166	0	-9999	-9999	-9999	-9999
1	12	2.67303	11.7921	14.68	9.01	3.5502	9.13979	0.8	-9999	-9999	-9999	-9999
1	13	6.34732	14.7992	17.59	11.69	5.82213	9.94035	0.6	-9999	-9999	-9999	-9999
1	14	1.64673	10.3884	14.63	6.116	4.27617	9.87097	3.2	-9999	-9999	-9999	-9999
1	15	6.10997	5.97335	8.08	1.368	3.89009	8.05534	2.6	-9999	-9999	-9999	-9999
1	16	5.27419	4.2886	8.77	-0.135	1.78709	6.93513	1.2	-9999	-9999	-9999	-9999
1	17	3.07255	7.61856	10.2	5.318	2.28086	7.5809	9.4	-9999	-9999	-9999	-9999
1	18	4.04018	5.47554	6.339	4.066	3.9251	6.86934	1.4	-9999	-9999	-9999	-9999
1	19	8.90743	4.68065	9.54	2.117	5.26997	5.92551	0	-9999	-9999	-9999	-9999
1	20	3.55054	7.39725	9.18	3.962	3.45874	6.46056	0.8	-9999	-9999	-9999	-9999
1	21	9.30323	10.1681	11.92	8.77	4.64377	7.6659	0	-9999	-9999	-9999	-9999
1	22	8.39031	9.71167	12.42	8.09	4.73369	8.23993	0	-9999	-9999	-9999	-9999
1	23	3.15788	5.97698	7.93	4.034	1.13698	7.99563	1	-9999	-9999	-9999	-9999
1	24	2.28336	5.7845	10.43	3.202	0.965681	7.66563	4.4	-9999	-9999	-9999	-9999
1	25	6.3594	5.98771	9.24	3.384	4.13574	7.21803	0	-9999	-9999	-9999	-9999
1	26	1.34819	2.5136	7.46	-0.374	0.784657	5.63246	25.6	-9999	-9999	-9999	-9999
1	27	5.66536	3.88242	5.639	1.793	3.28691	5.50945	0	-9999	-9999	-9999	-9999
1	28	6.85598	2.72998	4.457	1.049	2.84168	4.87821	0.2	-9999	-9999	-9999	-9999
1	29	10.1941	2.47908	4.933	-1.911	3.44654	4.59462	1.8	-9999	-9999	-9999	-9999
1	30	9.17945	0.405896	6.242	-6.277	2.77514	3.59513	0	-9999	-9999	-9999	-9999
1	31	0.740817	6.38556	8.96	2.91	0.111447	5.20691	6.2	-9999	-9999	-9999	-9999
2	1	9.1013	8.84494	15.29	4.9	1.52895	6.63922	0.2	-9999	-9999	-9999	-9999
2	2	9.87043	5.61279	10.88	1.757	0.277334	6.48228	0.4	-9999	-9999	-9999	-9999
2	3	10.8954	4.54021	11.2	0.854	0.641517	6.41048	0.4	-9999	-9999	-9999	-9999
2	4	4.01323	3.76177	5.961	-0.486	0.0501244	5.95833	0.2	-9999	-9999	-9999	-9999
2	5	5.36671	5.23256	9.46	2.298	0.349354	6.51844	0.2	-9999	-9999	-9999	-9999
2	6	2.4163	3.60763	6.159	0.102	0.046746	5.94727	0.4	-9999	-9999	-9999	-9999
2	7	8.29668	8.6226	12.65	4.477	2.97027	6.97773	0.2	-9999	-9999	-9999	-9999
2	8	9.91933	7.54665	10.1	5.164	4.37765	6.90415	0	-9999	-9999	-9999	-9999
2	9	12.0589	8.0271	13.7	4.435	6.25945	6.70601	0	-9999	-9999	-9999	-9999
2	10	11.7708	6.4026	13.43	0.343	5.71137	5.82539	0	-9999	-9999	-9999	-9999
2	11	10.0971	8.33787	15.08	-0.269	6.53569	5.8884	0	-9999	-9999	-9999	-9999
2	12	12.3337	10.6613	17.16	5.92	7.2446	7.05734	0	-9999	-9999	-9999	-9999
2	13	12.3734	6.77083	12.42	1.23	3.77306	6.73732	0	-9999	-9999	-9999	-9999
2	14	10.2806	5.44202	11.74	-0.147	1.89781	6.42059	0	-9999	-9999	-9999	-9999
2	15	12.8353	8.64404	11.94	3.101	4.64556	6.77537	0	-9999	-9999	-9999	-9999
2	16	7.62395	5.97452	9.15	2.424	3.43853	6.95531	0	-9999	-9999	-9999	-9999
2	17	6.08218	6.68337	9.78	3.33	3.84863	6.63322	0	-9999	-9999	-9999	-9999
2	18	3.16975	5.91625	6.96	4.362	3.23646	6.82592	0	-9999	-9999	-9999	-9999
2	19	10.7018	3.3556	7.25	-0.226	3.63727	6.22952	0	-9999	-9999	-9999	-9999
2	20	6.05607	2.92506	7.09	-1.476	0.883626	5.59392	14.4	-9999	-9999	-9999	-9999
2	21	0.559224	8.43448	10.35	5.094	0.205482	6.83089	30.2	-9999	-9999	-9999	-9999
2	22	1.72568	9.5475	10	8.69	1.50959	8.22556	19.4	-9999	-9999	-9999	-9999
2	23	7.25626	6.03679	9.31	0.68	3.6915	7.67722	0	-9999	-9999	-9999	-9999
2	24	13.4183	3.46285	9.08	-0.297	4.79766	5.97486	0	-9999	-9999	-9999	-9999
2	25	5.56171	2.87519	6.636	-0.639	2.373	5.57774	0	-9999	-9999	-9999	-9999
2	26	7.00583	4.21263	7.8	0.337	3.25015	6.0161	0	-9999	-9999	-9999	-9999
2	27	8.9917	1.53129	3.617	-1.001	2.98642	5.17506	0	-9999	-9999	-9999	-9999
2	28	13.2115	2.11929	5.028	-0.686	3.55045	4.73999	0	-9999	-9999	-9999	-9999
3	1	13.9884	2.20675	6.542	-0.629	4.3229	4.23254	0	-9999	-9999	-9999	-9999
3	2	15.3778	3.45271	9.38	-1.539	4.74369	4.17221	0	-9999	-9999	-9999	-9999
3	3	16.2295	8.07867	15.11	0.048	6.97692	4.99838	0	-9999	-9999	-9999	-9999
3	4	9.25097	10.4371	15.36	3.509	8.02549	6.11496	0	-9999	-9999	-9999	-9999
3	5	8.09053	12.3173	14.82	9.71	5.9458	7.68452	0	-9999	-9999	-9999	-9999
3	6	2.44584	8.19104	11.01	5.767	1.57735	8.04361	16.6	-9999	-9999	-9999	-9999
3	7	12.0592	6.65094	8.68	4.828	4.28441	7.0872	0.2	-9999	-9999	-9999	-9999
3	8	15.2026	6.53481	10.27	3.851	4.94003	6.58129	0	-9999	-9999	-9999	-9999
3	9	17.4036	6.43837	12.44	1.743	5.9483	6.38254	0	-9999	-9999	-9999	-9999
3	10	16.0269	3.02244	8.34	-2.995	3.15606	5.69356	0	-9999	-9999	-9999	-9999
3	11	17.5568	3.21983	9.38	-2.213	4.58613	5.26069	0	-9999	-9999	-9999	-9999
3	12	0.14022	5.93673	9.15	1.449	0.932276	5.88164	18.2	-9999	-9999	-9999	-9999
3	13	0.630196	7.37502	8.25	6.28	0.247398	7.09291	15	-9999	-9999	-9999	-9999
3	14	3.65685	8.3589	11.44	5.937	0.703126	7.54375	0.4	-9999	-9999	-9999	-9999
3	15	18.3429	10.5978	19.87	2.53	4.31918	7.81126	0.2	-9999	-9999	-9999	-9999
3	16	16.7158	11.9341	18.45	4.922	5.55428	8.39417	0	-9999	-9999	-9999	-9999
3	17	17.2798	11.8233	19.89	4.761	6.08084	8.66049	0	-9999	-9999	-9999	-9999
3	18	5.6388	7.7011	11.32	4.082	1.14447	8.45813	0	-9999	-9999	-9999	-9999
3	19	17.7414	12.8711	17.64	5.29	6.21981	8.79785	0.2	-9999	-9999	-9999	-9999
3	20	13.7336	13.5527	16.04	11.62	5.45448	10.0528	0	-9999	-9999	-9999	-9999
3	21	13.3341	11.9281	14.91	7.93	5.5447	10.2608	0	-9999	-9999	-9999	-9999
3	22	14.7321	7.61838	10.94	5.052	4.13483	9.3541	0	-9999	-9999	-9999	-9999
3	23	12.6565	6.12877	9.21	4.144	4.31099	8.22681	0.2	-9999	-9999	-9999	-9999
3	24	18.5778	6.47508	9.88	3.037	4.8699	7.63249	0	-9999	-9999	-9999	-9999
3	25	18.596	6.48327	9.8	3.597	5.01467	7.76433	0	-9999	-9999	-9999	-9999
3	26	17.5214	6.14619	11.04	2.633	4.91773	7.53931	0	-9999	-9999	-9999	-9999
3	27	20.8341	5.00781	9.74	1.447	4.79658	7.25222	0	-9999	-9999	-9999	-9999
3	28	15.8122	7.22638	13.74	1.347	4.29195	7.34708	0	-9999	-9999	-9999	-9999
3	29	21.1959	10.3432	17.12	3.709	6.62001	8.16	0	-9999	-9999	-9999	-9999
3	30	1.38277	8.07544	9.25	6.053	1.22292	8.41965	58.6	-9999	-9999	-9999	-9999
