Month	n_days		Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1	5.71	-3.35	1.86	-8.39	0.21	-9999	0.00	-9999	-9999
1	2	2	6.09	1.97	4.78	0.17	0.24	-9999	0.00	-9999	-9999
1	3	3	2.22	2.79	3.87	1.40	0.17	-9999	0.10	-9999	-9999
1	4	4	5.01	2.94	5.13	0.12	0.25	-9999	0.80	-9999	-9999
1	5	5	4.11	5.45	8.64	3.00	0.32	-9999	0.00	-9999	-9999
1	6	6	5.01	6.04	8.83	3.17	0.23	-9999	0.10	-9999	-9999
1	7	7	1.43	1.84	3.11	0.70	0.07	-9999	1.10	-9999	-9999
1	8	8	1.42	-0.28	0.51	-0.82	0.08	-9999	9.60	-9999	-9999
1	9	9	4.15	-2.28	-0.82	-4.72	0.11	-9999	1.50	-9999	-9999
1	10	10	5.19	-1.10	1.57	-4.88	0.17	-9999	0.00	-9999	-9999
1	11	11	1.80	2.61	4.16	0.63	0.11	-9999	6.10	-9999	-9999
1	12	12	2.83	-2.08	0.45	-5.25	0.07	-9999	0.30	-9999	-9999
1	13	13	5.33	-6.69	-5.19	-8.96	0.12	-9999	0.00	-9999	-9999
1	14	14	6.44	-7.45	-3.61	-10.31	0.21	-9999	0.00	-9999	-9999
1	15	15	6.60	-4.69	0.12	-7.64	0.42	-9999	0.00	-9999	-9999
1	16	16	5.99	-4.31	-1.73	-6.46	0.34	-9999	0.00	-9999	-9999
1	17	17	6.55	-6.03	-1.96	-8.03	0.18	-9999	0.00	-9999	-9999
1	18	18	5.23	-5.75	-2.23	-8.94	0.12	-9999	0.00	-9999	-9999
1	19	19	6.59	-1.74	2.68	-5.51	0.18	-9999	0.00	-9999	-9999
1	20	20	6.84	-4.27	-1.83	-6.98	0.09	-9999	0.00	-9999	-9999
1	21	21	3.43	-3.70	-2.05	-5.78	0.07	-9999	1.30	-9999	-9999
1	22	22	4.15	-1.88	0.75	-4.73	0.11	-9999	0.50	-9999	-9999
1	23	23	3.40	1.42	4.59	-1.52	0.20	-9999	0.00	-9999	-9999
1	24	24	4.48	6.84	9.68	3.99	0.33	-9999	1.00	-9999	-9999
1	25	25	6.52	5.78	10.35	2.45	0.17	-9999	2.70	-9999	-9999
1	26	26	2.33	2.13	6.36	0.64	0.09	-9999	1.30	-9999	-9999
1	27	27	3.71	2.14	5.91	-0.39	0.28	-9999	0.00	-9999	-9999
1	28	28	8.09	1.55	6.35	-1.17	0.32	-9999	0.00	-9999	-9999
1	29	29	7.23	-0.85	1.50	-2.35	0.18	-9999	0.00	-9999	-9999
1	30	30	2.66	-2.44	-1.67	-2.96	0.08	-9999	5.40	-9999	-9999
1	31	31	4.23	-3.49	-2.82	-4.31	0.10	-9999	0.50	-9999	-9999
2	1	32	3.05	-4.79	-4.27	-5.22	0.09	-9999	0.00	-9999	-9999
2	2	33	3.32	-5.79	-5.16	-6.39	0.14	-9999	0.00	-9999	-9999
2	3	34	2.90	-2.54	0.78	-6.46	0.08	-9999	0.00	-9999	-9999
2	4	35	3.20	2.45	4.04	0.77	0.09	-9999	0.00	-9999	-9999
2	5	36	6.54	5.27	7.91	3.16	0.21	-9999	0.00	-9999	-9999
2	6	37	8.46	7.84	11.23	5.21	0.36	-9999	0.00	-9999	-9999
2	7	38	8.97	8.77	12.66	6.84	0.38	-9999	0.10	-9999	-9999
2	8	39	7.80	10.72	13.88	8.33	0.44	-9999	0.00	-9999	-9999
2	9	40	2.98	5.58	8.87	3.29	0.19	-9999	2.70	-9999	-9999
2	10	41	2.24	1.75	2.88	1.20	0.07	-9999	1.10	-9999	-9999
2	11	42	11.61	3.03	7.58	-0.88	0.21	-9999	0.00	-9999	-9999
2	12	43	10.94	7.80	12.29	3.81	0.47	-9999	0.00	-9999	-9999
2	13	44	4.63	5.83	9.92	1.36	0.28	-9999	4.70	-9999	-9999
2	14	45	11.34	0.49	3.91	-1.69	0.12	-9999	0.00	-9999	-9999
2	15	46	12.15	3.06	8.57	-1.59	0.29	-9999	0.00	-9999	-9999
2	16	47	12.36	6.39	10.71	2.91	0.33	-9999	0.00	-9999	-9999
