Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
1	1	0.54	5.66	6.9675	3.935	0.13	5.62	-9999	-9999	0	-9999	-9999
1	2	0.6	4.22	7.22792	4.24917	0.11	5.08	-9999	-9999	0	-9999	-9999
1	3	0.5	3.57	7.22792	4.24917	0.02	4.78	-9999	-9999	0	-9999	-9999
1	4	0.5	3.57	7.22792	4.24917	0.02	4.78	-9999	-9999	0	-9999	-9999
1	5	0.5	3.57	3.33	2.42	0.02	4.78	-9999	-9999	0	-9999	-9999
1	6	0.36	5.56	7.68	3.38	0.13	5.44	2.4	-9999	0	-9999	-9999
1	7	0.76	7.05	8.97	5.32	0.06	6.22	0	-9999	0	-9999	-9999
1	8	0.52	6.32	7.89	4.62	0.52	6.01	3.3	-9999	0	-9999	-9999
1	9	1.58	7.25	8.53	5.82	0.38	6.27	6.67	-9999	0	-9999	-9999
1	10	1.58	7.25	7.64549	4.52903	0.38	6.27	-9999	-9999	0	-9999	-9999
1	11	1.55	7.84	7.43642	4.28832	0.85	6.46	-9999	-9999	0	-9999	-9999
1	12	1.33	7.98	7.60514	4.19767	1.42	6.73	-9999	-9999	0	-9999	-9999
1	13	1.33	7.98	10.96	7.39	1.42	6.73	-9999	-9999	0	-9999	-9999
1	14	0.95	5.85	7.29	2.95	0.51	6.33	12.1	-9999	0	-9999	-9999
1	15	2.86	5.52	7.18	3.32	0.67	5.92	1.9	-9999	0	-9999	-9999
1	16	0.69	7.49	8.68	6.03	1.34	6.27	7.7	-9999	0	-9999	-9999
1	17	1.81	5.73	6.78	4.6	0.8	6.35	0.4	-9999	0	-9999	-9999
1	18	4.63	2.7	4.51	1.12	0.54	5.7	0	-9999	0	-9999	-9999
1	19	0.46	6.07	9.59	2.98	0.15	5.54	25.7	-9999	0	-9999	-9999
1	20	2.09	6.43	9.36	3	0.33	6.77	4.8	-9999	0	-9999	-9999
1	21	4.11	2.69	5.27	1.1	0.82	5.49	0	-9999	0	-9999	-9999
1	22	0.59	2.36	3.72	0.65	0.65	5.21	2.2	-9999	0	-9999	-9999
1	23	2.05	2.15	4.01	0.63	0.3	4.94	1.4	-9999	0	-9999	-9999
1	24	1.58	4.33	7.15	1.59	0.37	5.08	1.9	-9999	0	-9999	-9999
1	25	4.18	4.82	7.18	2.01	0.28	5.19	0.5	-9999	0	-9999	-9999
1	26	2.8	1.15	2.78	-0.08	0.21	4.5	0	-9999	0	-9999	-9999
1	27	2.58	0.96	2.92	-0.74	0.13	4.34	0.7	-9999	0	-9999	-9999
1	28	2.87	1.31	3.77	0.23	0.18	3.98	6	-9999	0	-9999	-9999
1	29	4.33	1.98	4.07	-0.74	1.04	3.66	1.9	-9999	0	-9999	-9999
1	30	4.09	2.74	3.97	1.29	2	3.93	0	-9999	0	-9999	-9999
1	31	0.83	7.88	12.82	3.78	2.09	4.72	5.5	-9999	0	-9999	-9999
2	1	3.57	11.67	12.72	9.88	3.09	6.6	3.1	-9999	0	-9999	-9999
2	2	0.84	12.43	13.34	10.52	2.23	7.64	16.8	-9999	0	-9999	-9999
2	3	3.36	14.2	16.8	12.01	5.3	7.95	0.1	-9999	0	-9999	-9999
2	4	2.94	15.39	18.41	13.28	6.67	8.48	0	-9999	0	-9999	-9999
2	5	0.43	13.74	15.7	12.1	2.92	8.85	0.1	-9999	0	-9999	-9999
2	6	1.53	12.32	14.77	11.32	2.32	8.84	9.1	-9999	0	-9999	-9999
2	7	4.85	8.65	11.33	6.3	3.15	8.27	2.8	-9999	0	-9999	-9999
2	8	3.44	5.42	7	3.62	2.15	6.86	4.8	-9999	0	-9999	-9999
2	9	4.17	4.13	6.03	1.9	1.69	6	0.8	-9999	0	-9999	-9999
2	10	3.6	3.54	6.13	0.39	1.52	5.61	4.3	-9999	0	-9999	-9999
2	11	1.41	7.57	8.89	4.68	0.45	6.62	4.8	-9999	0	-9999	-9999
2	12	4	5.77	8.2	4.05	0.92	6.68	0	-9999	0	-9999	-9999
2	13	2.6	7.85	9.56	6.58	1.02	7.07	0	-9999	0	-9999	-9999
2	14	3.74	7.72	9.56	6.54	1.63	7.18	0	-9999	0	-9999	-9999
2	15	3.27	6.77	8.59	5.58	1.01	7.01	0	-9999	0	-9999	-9999
2	16	5.74	5.94	10.58	3.09	1.28	6.68	0	-9999	0	-9999	-9999
2	17	2.01	4.38	6.24	2.64	0.57	6.65	0.8	-9999	0	-9999	-9999
2	18	4.85	5.52	8.01	3.89	1.09	6.63	3	-9999	0	-9999	-9999
2	19	7.01	1.82	4.05	-0.55	1.39	5.79	0	-9999	0	-9999	-9999
2	20	9.76	1.12	4.77	-1.61	1.42	4.69	0	-9999	0	-9999	-9999
2	21	3.62	0.84	4.01	-1.29	0.74	4.42	0	-9999	0	-9999	-9999
2	22	3.59	2.53	6.44	-0.25	1.33	4.9	0	-9999	0	-9999	-9999
2	23	8.25	1.69	5.35	-0.14	1.18	4.34	0	-9999	0	-9999	-9999
2	24	6.84	2.97	5.48	0.55	0.98	4.61	5.3	-9999	0	-9999	-9999
